White,Black,Winner,Total Turns,Time per Turn (s),Real Turns,Final Position,White Pawns,Black Pawns
StatEvalV2,StatEvalV3,Black,120,1,4,R3R3/PPQ2Pb1/2NB3P/2PN4/8/1p2pn1p/p4pp1/rn3rk1 w - - 0 1,11,12
StatEvalV3,StatEvalV2,Black,120,1,4,R3R3/PPQ2Pb1/2NB3P/2PN4/8/1p2pn1p/p4pp1/rn3rk1 w - - 0 1,11,12
StatEvalV3,StatEvalV2,Draw,120,1,120,4r3/5r2/8/4K3/5P2/7p/2R2p2/6k1 w - - 0 1,3,5
StatEvalV2,StatEvalV3,Black,120,1,114,2q5/8/6kP/8/6p1/8/8/8 w - - 0 1,1,3
StatEvalV2,StatEvalV3,Black,120,1,40,6q1/5PPP/P3R3/8/4B3/p1n4p/1R4p1/r4r1k w - - 0 1,7,8
StatEvalV3,StatEvalV2,Black,120,1,40,6q1/5PPP/P3R3/8/4B3/p1n4p/1R4p1/r4r1k w - - 0 1,7,8
StatEvalV3,StatEvalV2,White,120,1,71,8/8/2K1P1P1/4B1p1/4p1p1/1P3N2/6R1/8 w - - 0 1,7,3
StatEvalV2,StatEvalV3,White,120,1,95,5K2/3N4/1Q2P3/8/5N2/8/8/8 w - - 0 1,5,0
StatEvalV2,StatEvalV3,Black,120,1,116,8/7r/5n2/8/3k4/8/5pp1/8 w - - 0 1,0,5
StatEvalV3,StatEvalV2,White,120,1,81,8/6P1/P2n4/2r5/5K1P/p4p1p/8/7R w - - 0 1,5,5
StatEvalV3,StatEvalV2,Draw,120,1,120,3R2K1/5PP1/P2Q3P/p3P2N/2qPp3/3p1n1p/1p3pp1/4r2k w - - 0 1,10,11
StatEvalV2,StatEvalV3,Draw,120,1,120,3RR1K1/5PP1/P4N1P/p1Q1P3/3Pp2n/3p3p/1p1q1pp1/3rr1k1 w - - 0 1,11,12
StatEvalV2,StatEvalV3,Draw,120,1,120,6K1/8/8/2k4p/PN2b3/8/6p1/8 w - - 0 1,3,4
StatEvalV3,StatEvalV2,Draw,120,1,120,8/8/1P6/3K4/P7/p7/1p2n3/7k w - - 0 1,3,4
StatEvalV3,StatEvalV2,Draw,120,1,120,2R3K1/1R3PP1/P1P1N2P/3P4/1p1p4/5n1p/1r3pp1/6kr w - - 0 1,10,9
StatEvalV2,StatEvalV3,Draw,120,1,120,1R4K1/6P1/1P3P1P/4N3/8/1n1P3p/R4pp1/1r4kr w - - 0 1,9,7
StatEvalV2,StatEvalV3,Draw,120,1,120,R7/P3r3/1P5r/4K1R1/8/pN5p/5p2/5k2 w - - 0 1,6,6
StatEvalV3,StatEvalV2,White,120,1,69,8/7P/P2K2P1/r5p1/5R1p/8/5p1r/6N1 w - - 0 1,6,5
StatEvalV3,StatEvalV2,Draw,120,1,120,4B3/8/5b2/8/8/4K3/P7/6k1 w - - 0 1,3,2
StatEvalV2,StatEvalV3,Draw,120,1,120,7K/6P1/P6P/4N3/1kB3N1/8/8/6Q1 w - - 0 1,8,1
StatEvalV2,StatEvalV3,Draw,120,1,120,8/4K3/7P/7p/4b1k1/7R/8/8 w - - 0 1,3,3
StatEvalV3,StatEvalV2,Draw,120,1,120,8/6q1/3K4/1p6/8/8/6b1/1k6 w - - 0 1,1,4
StatEvalV3,StatEvalV2,Draw,120,1,120,8/3K2p1/8/5pk1/8/8/8/8 w - - 0 1,1,3
StatEvalV2,StatEvalV3,Draw,120,1,120,8/8/8/4K3/5PP1/8/4k3/8 w - - 0 1,3,1
StatEvalV2,StatEvalV3,White,120,1,85,6K1/2B5/P6p/6P1/8/8/6p1/8 w - - 0 1,4,2
StatEvalV3,StatEvalV2,Black,120,1,36,5q2/1P3P1b/P6P/8/8/1Q2pn1p/6p1/5rk1 w - - 0 1,5,8
StatEvalV3,StatEvalV2,Draw,120,1,120,2R3KR/PPPBNQ2/1B3P1P/1p1P2N1/3n1bP1/p1pbp3/1q1n1ppp/3r2kr w - - 0 1,15,15
StatEvalV2,StatEvalV3,Draw,120,1,120,3R1NKR/PPPBNQ2/1B3P1P/1p1P4/3n2P1/p1pbp1b1/2qn1ppp/2r3kr w - - 0 1,15,15
StatEvalV2,StatEvalV3,Black,120,1,36,R5qR/P4P1P/3QB2p/5P2/3N4/3p4/5pp1/2r1k2r w - - 0 1,9,8
StatEvalV3,StatEvalV2,Draw,120,1,120,2R1K3/P6P/4P1Pp/4bN2/1R6/3p4/2pk1pp1/3r3r w - - 0 1,8,9
StatEvalV3,StatEvalV2,Draw,120,1,120,8/8/P1r1K1P1/5P2/5p1p/3N4/8/R4bk1 w - - 0 1,6,5
StatEvalV2,StatEvalV3,Black,120,1,102,8/8/1q6/8/4k3/8/8/8 w - - 0 1,0,2
StatEvalV2,StatEvalV3,Draw,120,1,120,R1B1K3/1PbPNPP1/P7/8/2b3Pp/2p1R3/pp4p1/r5kr w - - 0 1,11,10
StatEvalV3,StatEvalV2,Draw,120,1,120,R1B1K3/1PbPNPP1/P7/8/2b3Pp/2p1R3/pp4p1/r5kr w - - 0 1,11,10
StatEvalV3,StatEvalV2,Draw,120,1,120,8/K7/p4r2/1N6/8/7p/6p1/6k1 w - - 0 1,2,5
StatEvalV2,StatEvalV3,Draw,120,1,120,8/6P1/6K1/4k1P1/8/8/8/8 w - - 0 1,3,1
StatEvalV2,StatEvalV3,Black,120,1,112,2q5/8/4k3/8/8/6p1/8/8 w - - 0 1,0,3
StatEvalV3,StatEvalV2,Draw,120,1,120,6K1/5P2/8/7P/8/8/2R2Pk1/8 w - - 0 1,5,1
StatEvalV3,StatEvalV2,Draw,120,1,120,2R1R1K1/2P2PP1/P3BQ1P/2N1P3/4p3/p2Nn1pp/3nqpb1/1r1r2k1 w - - 0 1,13,12
StatEvalV2,StatEvalV3,Black,120,1,102,8/8/1p4k1/8/1p6/4q3/8/8 w - - 0 1,0,4
StatEvalV2,StatEvalV3,Draw,120,1,120,6K1/6P1/2k4P/8/1Q6/2B5/8/8 w - - 0 1,5,1
StatEvalV3,StatEvalV2,White,120,1,51,8/1P5K/P7/8/4p3/p4ppp/6Q1/2R5 w - - 0 1,5,5
StatEvalV3,StatEvalV2,Draw,120,1,120,8/8/8/2K5/3Bqp2/7p/6p1/5k2 w - - 0 1,2,5
StatEvalV2,StatEvalV3,Black,120,1,118,7r/p7/3n2P1/4p1R1/8/4k3/5p2/8 w - - 0 1,2,6
StatEvalV2,StatEvalV3,Black,120,1,62,6rR/1B3PPP/1P6/8/8/p5pp/1p3k2/8 w - - 0 1,6,6
StatEvalV3,StatEvalV2,Draw,120,1,120,R5KR/P4PPP/1P6/8/8/pr1Bp1pp/1p6/6kr w - - 0 1,9,8
StatEvalV3,StatEvalV2,Draw,120,1,120,8/8/1P5r/P7/p7/5K1p/7k/1R6 w - - 0 1,4,4
StatEvalV2,StatEvalV3,Draw,120,1,120,8/3K4/8/8/8/2k2Q2/8/8 w - - 0 1,2,1
