Player_Bot,Profondeur,Temps_recursion,Nb de Feuilles,Nb d évaluations
AlphaBetaBotTimeMemo,1,0.00099945068359375,12,12
AlphaBetaBotTimeMemo,2,0.002999544143676758,72,72
AlphaBetaBotTimeMemo,3,0.018999576568603516,608,473
AlphaBetaBotTimeMemo,4,0.14300084114074707,3989,3241
AlphaBetaBotTimeMemo,5,1.1150009632110596,38835,29230
AlphaBetaBotTime,1,0.0,12,12
AlphaBetaBotTime,2,0.003999948501586914,108,108
AlphaBetaBotTime,3,0.02200174331665039,674,674
AlphaBetaBotTime,4,0.3300008773803711,13307,13307
AlphaBetaBotTimeMemo,1,0.0009989738464355469,23,23
AlphaBetaBotTimeMemo,2,0.0070018768310546875,151,151
AlphaBetaBotTimeMemo,3,0.12999463081359863,3537,2822
AlphaBetaBotTimeMemo,4,0.9539940357208252,29407,24304
AlphaBetaBotTime,1,0.0010001659393310547,23,23
AlphaBetaBotTime,2,0.006997823715209961,214,214
AlphaBetaBotTime,3,0.09399938583374023,3918,3918
AlphaBetaBotTime,4,0.9929993152618408,38256,38256
AlphaBetaBotTimeMemo,1,0.000997781753540039,32,32
AlphaBetaBotTimeMemo,2,0.010002374649047852,201,201
AlphaBetaBotTimeMemo,3,0.21399927139282227,7128,5363
AlphaBetaBotTimeMemo,4,1.1410002708435059,35254,27429
AlphaBetaBotTime,1,0.0009982585906982422,23,23
AlphaBetaBotTime,2,0.005998373031616211,196,196
AlphaBetaBotTime,3,0.0999915599822998,4159,4159
AlphaBetaBotTime,4,1.3599627017974854,49211,49211
AlphaBetaBotTimeMemo,1,0.002000093460083008,37,37
AlphaBetaBotTimeMemo,2,0.013004779815673828,335,335
AlphaBetaBotTimeMemo,3,0.24499893188476562,8305,6785
AlphaBetaBotTimeMemo,4,1.5893001556396484,50055,39227
AlphaBetaBotTime,1,0.001001119613647461,23,23
AlphaBetaBotTime,2,0.006999492645263672,249,249
AlphaBetaBotTime,3,0.0749976634979248,3218,3218
AlphaBetaBotTime,4,0.9760012626647949,34571,34571
AlphaBetaBotTimeMemo,1,0.0010001659393310547,30,30
AlphaBetaBotTimeMemo,2,0.006994485855102539,154,154
AlphaBetaBotTimeMemo,3,0.12900161743164062,5025,3992
AlphaBetaBotTimeMemo,4,0.8209943771362305,23556,19463
AlphaBetaBotTime,1,0.0010020732879638672,21,21
AlphaBetaBotTime,2,0.007997512817382812,324,324
AlphaBetaBotTime,3,0.10899758338928223,4313,4313
AlphaBetaBotTime,4,1.3350389003753662,53157,53157
AlphaBetaBotTimeMemo,1,0.002001047134399414,32,32
AlphaBetaBotTimeMemo,2,0.008000373840332031,171,171
AlphaBetaBotTimeMemo,3,0.20999574661254883,7183,5286
AlphaBetaBotTimeMemo,4,0.828000545501709,22168,18467
AlphaBetaBotTime,1,0.0010037422180175781,22,22
AlphaBetaBotTime,2,0.009000539779663086,323,323
AlphaBetaBotTime,3,0.08399653434753418,3319,3319
AlphaBetaBotTime,4,1.138995885848999,43621,43621
AlphaBetaBotTimeMemo,1,0.0020003318786621094,34,34
AlphaBetaBotTimeMemo,2,0.01199793815612793,291,291
AlphaBetaBotTimeMemo,3,0.2579994201660156,9294,6774
AlphaBetaBotTimeMemo,4,1.1204936504364014,30762,26719
AlphaBetaBotTime,1,0.0009989738464355469,22,22
AlphaBetaBotTime,2,0.006998538970947266,235,235
AlphaBetaBotTime,3,0.10200023651123047,4383,4383
AlphaBetaBotTime,4,1.0409998893737793,38939,38939
AlphaBetaBotTimeMemo,1,0.000997304916381836,39,39
AlphaBetaBotTimeMemo,2,0.010998249053955078,229,229
AlphaBetaBotTimeMemo,3,0.10699915885925293,3906,3120
AlphaBetaBotTimeMemo,4,1.0549993515014648,26629,22301
AlphaBetaBotTime,1,0.000997781753540039,27,27
AlphaBetaBotTime,2,0.01300811767578125,429,429
AlphaBetaBotTime,3,0.1959986686706543,8212,8212
AlphaBetaBotTimeMemo,1,0.0009992122650146484,36,36
AlphaBetaBotTimeMemo,2,0.00799703598022461,224,224
AlphaBetaBotTimeMemo,3,0.1660001277923584,4734,4028
AlphaBetaBotTimeMemo,4,0.488999605178833,11328,9734
AlphaBetaBotTime,1,0.0009987354278564453,26,26
AlphaBetaBotTime,2,0.012010812759399414,444,444
AlphaBetaBotTime,3,0.19399666786193848,8411,8411
AlphaBetaBotTimeMemo,1,0.001997709274291992,38,38
AlphaBetaBotTimeMemo,2,0.01299738883972168,310,310
AlphaBetaBotTimeMemo,3,0.21600127220153809,6343,5351
AlphaBetaBotTimeMemo,4,1.0859980583190918,26115,21493
AlphaBetaBotTime,1,0.0009989738464355469,25,25
AlphaBetaBotTime,2,0.010000944137573242,367,367
AlphaBetaBotTime,3,0.10909414291381836,4460,4460
AlphaBetaBotTime,4,0.9690003395080566,36159,36159
AlphaBetaBotTimeMemo,1,0.001998424530029297,38,38
AlphaBetaBotTimeMemo,2,0.012897014617919922,369,369
