Player_Bot,Profondeur,Temps_recursion,Nb de Feuilles,Nb d évaluations
AlphaBetaBotTimeMemo,1,0.0020062923431396484,24,0
AlphaBetaBotTimeMemo,2,0.0029993057250976562,144,0
AlphaBetaBotTimeMemo,3,0.01900172233581543,1081,0
AlphaBetaBotTimeMemo,4,0.14799880981445312,7230,0
AlphaBetaBotTimeMemo,5,1.1560015678405762,68065,0
AlphaBetaBotTime,1,0.0,12,12
AlphaBetaBotTime,2,0.00299835205078125,108,108
AlphaBetaBotTime,3,0.02099895477294922,674,674
AlphaBetaBotTime,4,0.326000452041626,13307,13307
AlphaBetaBotTimeMemo,1,0.0009982585906982422,46,0
AlphaBetaBotTimeMemo,2,0.00599980354309082,302,0
AlphaBetaBotTimeMemo,3,0.09800481796264648,6359,0
AlphaBetaBotTimeMemo,4,0.9700024127960205,53711,0
AlphaBetaBotTime,1,0.0009996891021728516,23,23
AlphaBetaBotTime,2,0.004996776580810547,214,214
AlphaBetaBotTime,3,0.09299969673156738,3918,3918
AlphaBetaBotTime,4,0.9699983596801758,38256,38256
AlphaBetaBotTimeMemo,1,0.0009992122650146484,64,0
AlphaBetaBotTimeMemo,2,0.009002923965454102,402,0
AlphaBetaBotTimeMemo,3,0.2200000286102295,12491,0
AlphaBetaBotTimeMemo,4,1.1410000324249268,62683,0
AlphaBetaBotTime,1,0.0009992122650146484,23,23
AlphaBetaBotTime,2,0.006998777389526367,196,196
AlphaBetaBotTime,3,0.09699630737304688,4159,4159
AlphaBetaBotTime,4,1.3057773113250732,49211,49211
AlphaBetaBotTimeMemo,1,0.0019953250885009766,74,0
AlphaBetaBotTimeMemo,2,0.011998891830444336,670,0
AlphaBetaBotTimeMemo,3,0.24499797821044922,15090,0
AlphaBetaBotTimeMemo,4,1.531238079071045,89282,0
AlphaBetaBotTime,1,0.0010025501251220703,23,23
AlphaBetaBotTime,2,0.0069997310638427734,249,249
AlphaBetaBotTime,3,0.07699060440063477,3218,3218
AlphaBetaBotTime,4,0.9389996528625488,34571,34571
AlphaBetaBotTimeMemo,1,0.0010001659393310547,60,0
AlphaBetaBotTimeMemo,2,0.0069963932037353516,308,0
AlphaBetaBotTimeMemo,3,0.12299656867980957,9017,0
AlphaBetaBotTimeMemo,4,0.8060035705566406,43019,0
AlphaBetaBotTime,1,0.0010001659393310547,21,21
AlphaBetaBotTime,2,0.007997512817382812,324,324
AlphaBetaBotTime,3,0.10299897193908691,4313,4313
AlphaBetaBotTime,4,1.3009998798370361,53157,53157
AlphaBetaBotTimeMemo,1,0.0010008811950683594,64,0
AlphaBetaBotTimeMemo,2,0.0069980621337890625,342,0
AlphaBetaBotTimeMemo,3,0.17099881172180176,12469,0
AlphaBetaBotTimeMemo,4,0.8569979667663574,40635,0
AlphaBetaBotTime,1,0.0,22,22
AlphaBetaBotTime,2,0.007995843887329102,323,323
AlphaBetaBotTime,3,0.08200192451477051,3319,3319
AlphaBetaBotTime,4,1.1297690868377686,43621,43621
AlphaBetaBotTimeMemo,1,0.000997781753540039,68,0
AlphaBetaBotTimeMemo,2,0.011002063751220703,582,0
AlphaBetaBotTimeMemo,3,0.24998903274536133,16068,0
AlphaBetaBotTimeMemo,4,1.1110000610351562,57481,0
AlphaBetaBotTime,1,0.0010030269622802734,22,22
AlphaBetaBotTime,2,0.0059926509857177734,235,235
AlphaBetaBotTime,3,0.1029977798461914,4383,4383
AlphaBetaBotTime,4,1.035998821258545,38939,38939
AlphaBetaBotTimeMemo,1,0.045134782791137695,78,0
AlphaBetaBotTimeMemo,2,0.008617162704467773,458,0
AlphaBetaBotTimeMemo,3,0.1049654483795166,7026,0
AlphaBetaBotTimeMemo,4,0.9840004444122314,48930,0
AlphaBetaBotTime,1,0.0009980201721191406,27,27
AlphaBetaBotTime,2,0.009996414184570312,429,429
AlphaBetaBotTime,3,0.18199849128723145,8212,8212
AlphaBetaBotTimeMemo,1,0.0009982585906982422,72,0
AlphaBetaBotTimeMemo,2,0.010000467300415039,448,0
